store_name,square_footage,operation_type,georeference,Zip_Code_Clean
KUAN SING GROCERY,,Store,POINT (-74.007514275 40.637669694),11220
BARAKA HALAL MEATS,,Store,POINT (-73.997864692 40.621180521),11219
SOUTH BEACH DELI,2000.0,Store,POINT (-74.072839978 40.592408842),10305
GLOBAL FRUIT MARKET,1000.0,Store,POINT (-73.866349698 40.871287878),10467
CAFENORTH FOOD,750.0,Store,POINT (-73.767300078 40.760802366),11361
DESHI BAZAR SUPERMARKET,800.0,Store,POINT (-73.862105689 40.679820483),11416
IDEAL FOODS,,Store,POINT (-73.888275583 40.743634007),11373
109 STOP 1 DELI,1000.0,Store,POINT (-73.784163293 40.696859551),11433
FYZ NY,,Store,POINT (-73.879338211 40.747998422),11372
305 GOOD DELI & GROCERY,1000.0,Store,POINT (-73.980838197 40.667570415),11215
HEALTHY CHOICE 48,,Store,POINT (-73.989153716 40.730905291),10003
DELITERIA DELI & GROCERY,2500.0,Store,POINT (-73.966030979 40.758610582),10022
OCEAN AVE DELI OF STATEN ISLAND,1500.0,Store,POINT (-74.06327388 40.595642957),10305
JP DELI AND GROCERY,,Store,POINT (-73.851955623 40.891512656),10466
GREEN VALLEY MART,,Store,POINT (-73.944898524 40.723122442),11222
GREEN LAND GROCERY,500.0,Store,POINT (-73.937080556 40.849167658),10033
EIGHT BROTHERS DELI & GROCERY,,Store,POINT (-73.861775107 40.878937203),10467
D CHICHI DELI GROCERY,,Store,POINT (-73.919914837 40.865406674),10034
WALES AVE GROCERY,,Store,POINT (-73.9079433 40.811309158),10455
452 GOURMET DELI AND GRILL,,Store,POINT (-73.918869614 40.69897837),11237
LA MIA DELI,,Store,POINT (-73.923907724 40.842553373),10452
2236 LA UNION DELI GROCERY,1200.0,Store,POINT (-73.938727348 40.837700922),10032
J SUSHI TIME,50.0,Store,POINT (-73.883849855 40.646809405),11239
20TH AVE DELI & CONVENIENCE,,Store,POINT (-73.841551335 40.781601724),11356
LA FLOTA DELI BK,,Store,POINT (-73.871360484 40.674078125),11208
137TH GOURMET,,Store,POINT (-73.8310385 40.768090012),11354
DUKES CAFE,1800.0,Store,POINT (-73.969769559 40.795415687),10025
MONTER SEAFOOD,,Store,POINT (-73.862189508 40.884317169),10467
AVENUE J JUICE BAR DELI,1700.0,Store,POINT (-73.965341902 40.624573515),11230
7020 EMPRESARIO JOVEN,,Store,POINT (-73.881211902 40.704448317),11385
DELY GROCERY METRO LOS REYES,800.0,Store,POINT (-73.891069774 40.855183728),10458
NEILL GOURMET DELI 2,1000.0,Store,POINT (-73.856676311 40.853038547),10461
MARCS DELI & GROCERY,,Store,POINT (-73.889819278 40.82557038),10459
APNA SOHNA BAZAAR QUEENS,,Store,POINT (-73.820598504 40.676207673),11420
HALAL OUTLET,1500.0,Store,POINT (-73.938311103 40.624234719),11234
